# time disp shear stiffness
6.8868868869e+00 -1.3478447601e-02 -1.8695209166e+05 5.0000000000e+07
6.8968968969e+00 -1.2485719481e-02 -1.3731568564e+05 5.0000000000e+07
6.9069069069e+00 -1.1440607087e-02 -8.5060065923e+04 5.0000000000e+07
6.9169169169e+00 -1.0347106031e-02 -3.0385013136e+04 5.0000000000e+07
6.9269269269e+00 -9.2094157227e-03 2.6499502272e+04 5.0000000000e+07
6.9369369369e+00 -8.0319232548e-03 8.5374125668e+04 5.0000000000e+07
6.9469469469e+00 -6.8191864972e-03 1.4601096355e+05 5.0000000000e+07
6.9569569570e+00 -5.5759164629e-03 2.0817446526e+05 5.0000000000e+07
6.9669669670e+00 -4.3069590133e-03 2.7162233774e+05 5.0000000000e+07
6.9769769770e+00 -3.0172759746e-03 3.3610648968e+05 5.0000000000e+07
6.9869869870e+00 -1.7119257388e-03 4.0137400147e+05 5.0000000000e+07
6.9969969970e+00 -3.9604342476e-04 4.6716811717e+05 5.0000000000e+07
7.0070070070e+00 9.2517932179e-04 4.7731294830e+05 2.5000000000e+06
7.0170170170e+00 2.2465148116e-03 4.8061628703e+05 2.5000000000e+06
7.0270270270e+00 3.5627199960e-03 4.8390679999e+05 2.5000000000e+06
7.0370370370e+00 4.8685572712e-03 4.8717139318e+05 2.5000000000e+06
7.0470470470e+00 6.1588153197e-03 4.9039703830e+05 2.5000000000e+06
7.0570570571e+00 7.4283299054e-03 4.9357082476e+05 2.5000000000e+06
7.0670670671e+00 8.6720045408e-03 4.9668001135e+05 2.5000000000e+06
7.0770770771e+00 9.8848309423e-03 4.9971207736e+05 2.5000000000e+06
7.0870870871e+00 1.1061909192e-02 5.0265477298e+05 2.5000000000e+06
7.0970970971e+00 1.2198467524e-02 5.0549616881e+05 2.5000000000e+06
7.1071071071e+00 1.3289881659e-02 5.0822470415e+05 2.5000000000e+06
7.1171171171e+00 1.4331693602e-02 5.1082923401e+05 2.5000000000e+06
7.1271271271e+00 1.5319629835e-02 5.1329907459e+05 2.5000000000e+06
7.1371371371e+00 1.6249618823e-02 5.1562404706e+05 2.5000000000e+06
7.1471471471e+00 1.7117807766e-02 5.1779451942e+05 2.5000000000e+06
