time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
1.14,-0.13137086220077,0.00100357890262734,6.87626985048488e-05,4.6100064073523e-05,3.18040906895866e-05,0.000475578230862686,2838.53803447459
1.15,-0.0886466855781806,0.00102427881998684,7.00817608589007e-05,4.67180916251827e-05,3.23658555104431e-05,0.000487282271206546,2908.13304017297
1.16,0.153558874406909,0.00104768621263708,7.15617343334398e-05,4.71549754011531e-05,3.2711457820008e-05,0.000502544809440517,2998.83628665021
1.17,0.0815218989013211,0.00106242085694452,7.25188490638382e-05,4.74247785300887e-05,3.28350519693498e-05,0.000512417610516724,3057.48676638536
1.18,-0.0769892959988881,0.00107001142466855,7.30496559635953e-05,4.7531402007692e-05,3.27393210056473e-05,0.000518058060351589,3090.9871266505
1.19,0.00113972787131747,0.00107825237354885,7.36273847116204e-05,4.747798838022e-05,3.24316328677872e-05,0.000525519152094193,3135.28806291099
1.2,-0.00909892204370708,0.00108747887180426,7.42705277118256e-05,4.72723600359064e-05,3.19217053733173e-05,0.000535006336568478,3191.59790272744
1.21,0.0340226599528686,0.00109520570337406,7.48269309545871e-05,4.69238476663044e-05,3.12225927457479e-05,0.000544501566454159,3247.93385893572
1.22,0.0507121981791877,0.00109916309796051,7.51563221069121e-05,4.64396310085868e-05,3.03517105335383e-05,0.000552151508823974,3293.30744442387
1.23,0.0796699849002723,0.00109677499881238,7.50964649268131e-05,4.58217877463434e-05,2.93313534705411e-05,0.000555876416695068,3315.39774254988
1.24,0.113673307598512,0.00108539854071307,7.44758398349125e-05,4.50645895065871e-05,2.81888321159411e-05,0.000553573199466284,3301.57843917717
1.25,0.0594013191728635,0.00106404717540875,7.32175105447734e-05,4.41537863400419e-05,2.69555433446605e-05,0.000544470550582638,3246.9625458753
1.26,-0.056648983263942,0.0010375644587528,7.15987809483818e-05,4.30723191502715e-05,2.56633905444445e-05,0.000532360292437646,3174.30099700535
1.27,-0.148641261806534,0.00101547211299717,7.01893599586837e-05,4.18134127140624e-05,2.4338547836854e-05,0.000524643359162605,3127.9993973551
1.28,0.00106687600406871,0.00100157286282168,6.92210560777525e-05,4.03900064901112e-05,2.29972436267613e-05,0.000524182960521031,3125.23700550566
1.29,0.120990475167582,0.000987726942048664,6.82043140264349e-05,3.88281611414092e-05,2.16483645572663e-05,0.000524475919038266,3126.97144445092
1.3,0.121985104213393,0.00096422934080954,6.65535692983729e-05,3.7151341888838e-05,2.02997722496117e-05,0.000517812480436979,3086.9908128432
1.31,0.0918135328940303,0.000928855784690666,6.41349136344127e-05,3.53722590356532e-05,1.89614690692504e-05,0.000502368674429127,2994.32797679609
1.32,-0.0269578683480645,0.000886124608428872,6.12227561008618e-05,3.34964744027927e-05,1.76439706976867e-05,0.000481617084104044,2869.81843484559
1.33,-0.12844647430835,0.000845314185241915,5.83849368104734e-05,3.15335991706184e-05,1.63538000879428e-05,0.000462733775393391,2756.51858258167
1.34,-0.0227626261648587,0.000811855094854733,5.59621813552242e-05,2.95067617991118e-05,1.50900578484958e-05,0.000449842691244538,2679.17207768856
1.35,0.0219112663427701,0.000781906791972923,5.37354979638342e-05,2.74498949436766e-05,1.38461792357667e-05,0.000439793132257124,2618.87472376407
1.36,0.0380128280715942,0.000750221519575349,5.14005416729983e-05,2.53975670206333e-05,1.26147544671878e-05,0.0004283352121964,2550.12720339972
1.37,0.0219355866591695,0.000715317094170547,4.88797823210086e-05,2.33786626816672e-05,1.13907236195057e-05,0.000414180087130694,2465.19645300549
1.38,0.0460543989487052,0.000677033144688049,4.61722703389813e-05,2.14145610818701e-05,1.01725784804319e-05,0.000397099269043429,2362.7115444819
1.39,0.134676293174797,0.000632396974855811,4.30996670082729e-05,1.95159970426947e-05,8.96376365883513e-06,0.000374711035100521,2228.38214082445
1.4,0.0504694908422363,0.000578534948953637,3.94817886177378e-05,1.76787928067735e-05,7.77408977393579e-06,0.000344770132639227,2048.73672605669
1.41,-0.11381486621894,0.000521602214906876,3.568419179042e-05,1.58885730108814e-05,6.61726801391609e-06,0.000312118096772093,1852.82451085389
1.42,-0.248553137773959,0.000475318267842153,3.25379694503023e-05,1.41381216957909e-05,5.50355974221737e-06,0.000287471524644235,1704.94507808674
1.43,-0.166092390369027,0.000448470240956185,3.05853315584087e-05,1.24432428976797e-05,4.43358852794184e-06,0.000277606454213676,1645.75465550338
1.44,-0.00537622782266981,0.000436281779106125,2.95516408677161e-05,1.08409430043209e-05,3.39975268377952e-06,0.000278629367505186,1651.8748947131
1.45,0.0265721149095596,0.000427867188087873,2.87914128002834e-05,9.37291650968704e-06,2.39366901048279e-06,0.000281858394134241,1671.19231562298
1.46,0.00790001225668274,0.000418106319549935,2.80062133126729e-05,8.07203074748938e-06,1.41223727384354e-06,0.000283140586747514,1678.86289889478
1.47,0.0887966732583191,0.000405150839571901,2.70896148630593e-05,6.95750071862944e-06,4.59853889511217e-07,0.000280925749475581,1665.57387526318
1.48,0.0896383396617408,0.000385450349117306,2.58213662613809e-05,6.03126469418283e-06,-4.50400621385394e-07,0.000272402319914264,1614.43329789528
1.49,0.10280180388044,0.000356668922787444,2.40445247982106e-05,5.27508835590466e-06,-1.2964850082782e-06,0.000255785661462431,1514.73334718428
1.5,0.216567087395202,0.000315347576809719,2.15227367265246e-05,4.64927731172465e-06,-2.04838525059814e-06,0.000228502513174175,1351.03445745475
